frame_nmr,car_id,license_plate_number,timestamp
2,3,NA13MRU,2024-07-20 23:56:37
2,5,MT51VSU,2024-07-20 23:56:37
43,6,GX15OGJ,2024-07-20 23:56:39
104,1,AP05JEO,2024-07-20 23:56:42
118,8,RH05ZZK,2024-07-20 23:56:43
130,32,LM13VCV,2024-07-20 23:56:44
249,329,EY61NBG,2024-07-20 23:56:50
269,16,FJ14ZHY,2024-07-20 23:56:51
354,383,AV08HVF,2024-07-20 23:56:55
400,521,BG65USJ,2024-07-20 23:56:58
428,359,NA54KGJ,2024-07-20 23:56:59
464,343,AK64DMV,2024-07-20 23:57:01
464,599,GL65USJ,2024-07-20 23:57:01
527,613,EF10DZT,2024-07-20 23:57:05
595,389,OU62HTJ,2024-07-20 23:57:08
639,293,AF65JKV,2024-07-20 23:57:11
669,367,GJ06EPD,2024-07-20 23:57:12
729,741,KH06KSU,2024-07-20 23:57:15
746,784,LN15ZZC,2024-07-20 23:57:16
820,605,DA07CLX,2024-07-20 23:57:20
863,979,EY06VUS,2024-07-20 23:57:23
872,880,EV06WOG,2024-07-20 23:57:23
879,1001,ET06NOS,2024-07-20 23:57:24
893,1011,EJ09VVS,2024-07-20 23:57:24
909,1047,EY09VOS,2024-07-20 23:57:25
922,1030,EY06VIS,2024-07-20 23:57:26
965,1108,EY09VVS,2024-07-20 23:57:28
971,1114,EY09VMS,2024-07-20 23:57:28
1105,1019,BP63LYH,2024-07-20 23:57:35
1205,1269,NG65ZFX,2024-07-20 23:57:41
1319,1467,NL64OGX,2024-07-20 23:57:47
1341,1261,LI61PZS,2024-07-20 23:57:48
1381,1134,LP14LJA,2024-07-20 23:57:50
1606,1473,CE61LYL,2024-07-20 23:58:02
1634,1753,DU06KRO,2024-07-20 23:58:03
1751,1716,SC56DYP,2024-07-20 23:58:09
